Fe,Cr,Mo,T,NP_BCC_A2,NP_CHI_A12,NP_FCC_A1,NP_LAVES_PHASE,NP_LIQUID,NP_MU_PHASE,NP_MU_PHASE_I,NP_R_PHASE,NP_SIGMA,GM,HM,SM,CPM,converged,in_stainless_box
0.5361526833699759,0.3317646815598309,0.1320826350701931,1288.431743955246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-66905.9655918504,0.0,0.0,0.0,True,0
0.6585031944674753,0.18533612068752012,0.1561606848450046,705.1009220611438,0.5341775193017511,0.0,0.0,0.46582248069675797,0.0,0.0,0.0,0.0,0.0,-26053.272421596386,0.0,0.0,0.0,True,1
0.9541471866319648,0.014013049580582991,0.031839763787452166,1590.64615205183,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-90416.20606684094,0.0,0.0,0.0,True,1
0.151913299665189,0.6762219632741011,0.1718647370607099,780.1111978908956,0.7173227506258196,0.0,0.0,0.0,0.0,0.282677249382582,0.0,0.0,0.0,-27777.553602248998,0.0,0.0,0.0,True,0
0.1254621455573004,0.4743021130277922,0.40023574141490736,1818.8413936577724,1.000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-107765.80613117265,0.0,0.0,0.0,True,0
0.9059832282129351,0.02187707708618123,0.07213969470088367,1137.407640639745,0.8862093621682232,0.0,0.0,0.11379063783181505,0.0,0.0,0.0,0.0,0.0,-53571.53061748979,0.0,0.0,0.0,True,1
0.6938755859166084,0.18227429298329073,0.12385012110010085,1513.8271701323224,0.9160892910069607,0.08391070999036705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-86512.23709815636,0.0,0.0,0.0,True,1
0.3690909090909091,0.3918181818181818,0.23909090909090908,1100.0,0.0,0.0,0.0,0.0,0.0,0.1795508249749215,0.0,0.0,0.8204491750598716,-51817.60937840481,0.0,0.0,0.0,True,0
0.49221368237146945,0.3405316906817563,0.1672546269467742,1161.417037322089,0.0,0.2930257776316151,0.0,0.0,0.0,0.05378400734109553,0.0,0.0,0.6531902151110714,-56737.21130669984,0.0,0.0,0.0,True,0
0.558913061571774,0.3163126373412251,0.1247743010870009,1019.7918162136174,0.0,0.7772882454877587,0.0,0.0,0.0,0.0,0.0,0.0,0.22271175451202158,-45943.619665082915,0.0,0.0,0.0,True,0
