Fe,Mn,Ni,T,NP_ALPHA_MN,NP_BCC_A2,NP_BETA_MN,NP_FCC_A1,NP_LIQUID,NP_MNNI,NP_MNNI2,GM,HM,SM,CPM,converged,in_stainless_box
0.5361526833699759,0.3317646815598309,0.1320826350701931,1288.431743955246,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-78569.74650466835,0.0,0.0,0.0,True,0
0.6585031944674753,0.18533612068752012,0.1561606848450046,705.1009220611438,0.0,0.10922509693134748,0.0,0.8907749030781602,0.0,0.0,0.0,-31288.4144038834,0.0,0.0,0.0,True,1
0.9541471866319648,0.014013049580582991,0.031839763787452166,1590.64615205183,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.0,-91638.69140664277,0.0,0.0,0.0,True,1
0.151913299665189,0.6762219632741011,0.1718647370607099,780.1111978908956,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-39965.65797081974,0.0,0.0,0.0,True,0
0.1254621455573004,0.4743021130277922,0.40023574141490736,1818.8413936577724,0.0,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,-139748.38956227934,0.0,0.0,0.0,True,0
0.9059832282129351,0.02187707708618123,0.07213969470088367,1137.407640639745,0.0,0.0,0.0,0.9999999999999999,0.0,0.0,0.0,-55995.803992515575,0.0,0.0,0.0,True,1
0.6938755859166084,0.18227429298329073,0.12385012110010085,1513.8271701323224,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.0,-95275.77181160805,0.0,0.0,0.0,True,1
0.3690909090909091,0.3918181818181818,0.23909090909090908,1100.0,0.0,0.0,0.0,0.9999999999999998,0.0,0.0,0.0,-65878.05850108572,0.0,0.0,0.0,True,0
0.49221368237146945,0.3405316906817563,0.1672546269467742,1161.417037322089,0.0,0.0,0.0,0.9999999999999998,0.0,0.0,0.0,-68742.15115287263,0.0,0.0,0.0,True,0
0.558913061571774,0.3163126373412251,0.1247743010870009,1019.7918162136174,0.0,0.0,0.0,0.9999999999999996,0.0,0.0,0.0,-55641.39639568516,0.0,0.0,0.0,True,0
0.47731682563471944,0.4322649797790169,0.09041819458626366,1207.1271122770095,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-71402.0108010451,0.0,0.0,0.0,True,0
0.9872369466338639,0.0016710288885312076,0.011092024477604951,1228.2755488516166,0.0,0.0,0.0,0.999999999990023,0.0,0.0,0.0,-59626.50174134665,0.0,0.0,0.0,True,1
0.7044897594720236,0.2553353476642868,0.04017489286368958,1160.683165586127,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.0,-63228.21865266714,0.0,0.0,0.0,True,1
0.06363636363636371,0.6209090909090909,0.31545454545454543,1500.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-104748.38267994995,0.0,0.0,0.0,True,0
0.9170547672455209,0.00977793726769488,0.07316729548678418,728.1487375416478,0.0,0.8550406600452829,0.0,0.14495933996829774,0.0,0.0,0.0,-27570.740956699057,0.0,0.0,0.0,True,1
0.4895652884724874,0.326399497121288,0.18403521440622456,1225.3452493469808,0.0,0.0,0.0,1.0000000000000009,0.0,0.0,0.0,-74429.1955986542,0.0,0.0,0.0,True,0
0.5204962475488293,0.05083512323302456,0.42866862921814625,1414.0007785809937,0.0,0.0,0.0,1.0000000000000007,0.0,0.0,0.0,-87002.83941769981,0.0,0.0,0.0,True,0
0.5215680616847771,0.33868910366500826,0.1397428346502146,1142.0231972195534,0.0,0.0,0.0,0.9999999999999997,0.0,0.0,0.0,-66339.6928246443,0.0,0.0,0.0,True,0
0.9531724288339829,0.023439338947617308,0.023388232218399762,1147.2686947246193,0.0,0.0,0.0,0.9999999999999999,0.0,0.0,0.0,-55109.71359610544,0.0,0.0,0.0,True,1
0.9694170246794912,0.004064102330641948,0.026518872989866875,1495.608835592224,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-82417.18583812348,0.0,0.0,0.0,True,1
0.308782156652256,0.43177063828689205,0.259447205060852,1465.9057177318732,0.0,0.0,0.0,0.8038632141180947,0.19613678587803562,0.0,0.0,-99353.16151709681,0.0,0.0,0.0,True,0
0.9018340827648189,0.019196638309221845,0.07896927892595931,1510.3679024524233,0.0,0.0,0.0,0.9999999999999999,0.0,0.0,0.0,-86883.4428486407,0.0,0.0,0.0,True,1
0.45898232241237014,0.36397298622643076,0.17704469136119913,1465.1179274433298,0.0,0.0,0.0,0.9999999999999999,0.0,0.0,0.0,-96408.95502315908,0.0,0.0,0.0,True,0
0.625176488458554,0.03669799782847423,0.33812551371297167,1080.8166784549883,0.0,0.0,0.0,0.9999999999999999,0.0,0.0,0.0,-57760.81808991576,0.0,0.0,0.0,True,0
0.2927272727272727,0.3918181818181818,0.31545454545454543,1300.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-84588.99241927368,0.0,0.0,0.0,True,0
0.6867038909593391,0.2090271237205098,0.10426898532015104,1295.930841491972,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.0,-75945.91168742448,0.0,0.0,0.0,True,1
