Fe,Cr,V,T,NP_BCC_A2,NP_FCC_A1,NP_LIQUID,NP_SIGMA,GM,HM,SM,CPM,converged
0.5361526833699759,0.3317646815598309,0.1320826350701931,1288.431743955246,0.2527119559796795,0.0,0.0,0.7472880440868056,-70944.74130483456,0.0,0.0,0.0,True
0.6585031944674753,0.18533612068752012,0.1561606848450046,705.1009220611438,0.49943524591148286,0.0,0.0,0.5005647540877464,-29854.611025723207,0.0,0.0,0.0,True
0.9541471866319648,0.014013049580582991,0.031839763787452166,1590.64615205183,1.0,0.0,0.0,0.0,-91466.54370094933,0.0,0.0,0.0,True
0.151913299665189,0.6762219632741011,0.1718647370607099,780.1111978908956,0.8743947894480415,0.0,0.0,0.12560521057104138,-32667.35731759631,0.0,0.0,0.0,True
0.1254621455573004,0.4743021130277922,0.40023574141490736,1818.8413936577724,1.0000000000000002,0.0,0.0,0.0,-118066.26603116009,0.0,0.0,0.0,True
0.9059832282129351,0.02187707708618123,0.07213969470088367,1137.407640639745,1.0,0.0,0.0,0.0,-56251.499177903315,0.0,0.0,0.0,True
0.6938755859166084,0.18227429298329073,0.12385012110010085,1513.8271701323224,1.0,0.0,0.0,0.0,-90675.81742029749,0.0,0.0,0.0,True
0.3690909090909091,0.3918181818181818,0.23909090909090908,1100.0,0.6210971452917061,0.0,0.0,0.3789028547019525,-58068.6637414879,0.0,0.0,0.0,True
0.49221368237146945,0.3405316906817563,0.1672546269467742,1161.417037322089,0.10116811600464012,0.0,0.0,0.8988318839982803,-61701.14609892614,0.0,0.0,0.0,True
0.558913061571774,0.3163126373412251,0.1247743010870009,1019.7918162136174,0.0,0.0,0.0,1.0000000000000002,-49896.54481691656,0.0,0.0,0.0,True
0.47731682563471944,0.4322649797790169,0.09041819458626366,1207.1271122770095,0.7867770832378206,0.0,0.0,0.21322291652089662,-62266.428946514316,0.0,0.0,0.0,True
0.9872369466338639,0.0016710288885312076,0.011092024477604951,1228.2755488516166,1.0,0.0,0.0,0.0,-59674.25189982387,0.0,0.0,0.0,True
0.7044897594720236,0.2553353476642868,0.04017489286368958,1160.683165586127,0.9999999999999999,0.0,0.0,0.0,-57531.256692370705,0.0,0.0,0.0,True
0.06363636363636371,0.6209090909090909,0.31545454545454543,1500.0,1.0000000000000004,0.0,0.0,0.0,-86280.09824447965,0.0,0.0,0.0,True
0.9170547672455209,0.00977793726769488,0.07316729548678418,728.1487375416478,1.0,0.0,0.0,0.0,-29203.113287001805,0.0,0.0,0.0,True
0.4895652884724874,0.326399497121288,0.18403521440622456,1225.3452493469808,0.21837313676047987,0.0,0.0,0.7816268632492257,-67286.28441044252,0.0,0.0,0.0,True
0.5204962475488293,0.05083512323302456,0.42866862921814625,1414.0007785809937,0.0,0.0,0.0,1.0,-87754.98517338486,0.0,0.0,0.0,True
0.5215680616847771,0.33868910366500826,0.1397428346502146,1142.0231972195534,0.0,0.0,0.0,1.0000000000000004,-59473.84607993836,0.0,0.0,0.0,True
0.9531724288339829,0.023439338947617308,0.023388232218399762,1147.2686947246193,1.0,0.0,0.0,0.0,-54792.9992162856,0.0,0.0,0.0,True
0.9694170246794912,0.004064102330641948,0.026518872989866875,1495.608835592224,1.0,0.0,0.0,0.0,-82483.685576874,0.0,0.0,0.0,True
