Fe,Cr,Ni,T,NP_BCC_A2,NP_FCC_A1,NP_LIQUID,NP_SIGMA,GM,HM,SM,CPM,converged
0.5361526833699759,0.3317646815598309,0.1320826350701931,1288.431743955246,0.2974000101965828,0.7025999898115772,0.0,0.0,-69104.31714938737,0.0,0.0,0.0,True
0.6585031944674753,0.18533612068752012,0.1561606848450046,705.1009220611438,0.4954641355172264,0.5045358644896581,0.0,0.0,-27120.703314965765,0.0,0.0,0.0,True
0.9541471866319648,0.014013049580582991,0.031839763787452166,1590.64615205183,0.0,1.0000000000000002,0.0,0.0,-91231.36413519233,0.0,0.0,0.0,True
0.151913299665189,0.6762219632741011,0.1718647370607099,780.1111978908956,0.6437594487555356,0.3562405512539429,0.0,0.0,-29433.910853896683,0.0,0.0,0.0,True
0.1254621455573004,0.4743021130277922,0.40023574141490736,1818.8413936577724,0.0,0.0,1.0,0.0,-116127.3485125497,0.0,0.0,0.0,True
0.9059832282129351,0.02187707708618123,0.07213969470088367,1137.407640639745,0.0,0.9999999999999999,0.0,0.0,-55425.67704254636,0.0,0.0,0.0,True
0.6938755859166084,0.18227429298329073,0.12385012110010085,1513.8271701323224,0.0,1.0000000000000002,0.0,0.0,-89590.04389631381,0.0,0.0,0.0,True
0.3690909090909091,0.3918181818181818,0.23909090909090908,1100.0,0.0,0.5921066675250515,0.0,0.4078933324552387,-54753.06334991878,0.0,0.0,0.0,True
0.49221368237146945,0.3405316906817563,0.1672546269467742,1161.417037322089,0.0,0.6354090056021707,0.0,0.36459099440777304,-59316.691770267156,0.0,0.0,0.0,True
0.558913061571774,0.3163126373412251,0.1247743010870009,1019.7918162136174,0.0,0.5495191975822871,0.0,0.450480802397245,-47865.45794365871,0.0,0.0,0.0,True
0.47731682563471944,0.4322649797790169,0.09041819458626366,1207.1271122770095,0.0,0.08743388782398216,0.0,0.9125661121970309,-60733.15637714467,0.0,0.0,0.0,True
0.9872369466338639,0.0016710288885312076,0.011092024477604951,1228.2755488516166,0.0,1.0,0.0,0.0,-59583.77619489255,0.0,0.0,0.0,True
0.7044897594720236,0.2553353476642868,0.04017489286368958,1160.683165586127,0.5464314201084357,0.4535685798916024,0.0,0.0,-56910.86942347535,0.0,0.0,0.0,True
0.06363636363636371,0.6209090909090909,0.31545454545454543,1500.0,0.7159562282868867,0.2840437717129337,0.0,0.0,-81632.03156932101,0.0,0.0,0.0,True
0.9170547672455209,0.00977793726769488,0.07316729548678418,728.1487375416478,0.8840729018951038,0.11592709810474579,0.0,0.0,-27377.266586625767,0.0,0.0,0.0,True
0.4895652884724874,0.326399497121288,0.18403521440622456,1225.3452493469808,0.0,0.7930373786040265,0.0,0.2069626214019728,-64882.52389708934,0.0,0.0,0.0,True
0.5204962475488293,0.05083512323302456,0.42866862921814625,1414.0007785809937,0.0,0.9999999999999997,0.0,0.0,-85021.28928025249,0.0,0.0,0.0,True
0.5215680616847771,0.33868910366500826,0.1397428346502146,1142.0231972195534,0.0,0.5625120208638582,0.0,0.4374879791376148,-57347.43774345743,0.0,0.0,0.0,True
0.9531724288339829,0.023439338947617308,0.023388232218399762,1147.2686947246193,0.0,1.0000000000000002,0.0,0.0,-54520.56883326949,0.0,0.0,0.0,True
0.9694170246794912,0.004064102330641948,0.026518872989866875,1495.608835592224,0.0,1.0,0.0,0.0,-82303.01587724683,0.0,0.0,0.0,True
0.308782156652256,0.43177063828689205,0.259447205060852,1465.9057177318732,0.2990940770424775,0.7009059229540013,0.0,0.0,-84473.08401531904,0.0,0.0,0.0,True
0.9018340827648189,0.019196638309221845,0.07896927892595931,1510.3679024524233,0.0,0.9999999999999999,0.0,0.0,-86316.16450242621,0.0,0.0,0.0,True
0.45898232241237014,0.36397298622643076,0.17704469136119913,1465.1179274433298,0.3583945598230864,0.641605440176908,0.0,0.0,-84731.70318644233,0.0,0.0,0.0,True
0.625176488458554,0.03669799782847423,0.33812551371297167,1080.8166784549883,0.0,1.0000000000000009,0.0,0.0,-56581.49281253646,0.0,0.0,0.0,True
0.2927272727272727,0.3918181818181818,0.31545454545454543,1300.0,0.07276630643850783,0.9272336935744838,0.0,0.0,-71392.40468884112,0.0,0.0,0.0,True
0.6867038909593391,0.2090271237205098,0.10426898532015104,1295.930841491972,0.0,0.9999999999999997,0.0,0.0,-70047.36326114825,0.0,0.0,0.0,True
0.7032673297525962,0.24685211180660083,0.049880558440802955,723.3920084664057,0.7064093114808706,0.0,0.0,0.2935906885181135,-26456.993384765407,0.0,0.0,0.0,True
0.2927272727272728,0.6209090909090909,0.08636363636363635,1100.0,0.37578400686742497,0.0,0.0,0.6242159931461431,-50190.28992345868,0.0,0.0,0.0,True
0.559897757300089,0.12033800915622628,0.3197642335436847,1112.751716511872,0.0,0.9999999999999998,0.0,0.0,-59216.23501010653,0.0,0.0,0.0,True
0.47054656784640003,0.32548797300293825,0.20396545915066164,1123.3836371694247,0.0,0.7370986561013815,0.0,0.2629013439200742,-57002.77865900925,0.0,0.0,0.0,True
0.0673154546685375,0.3984344240231519,0.5342501213083106,1782.2740812991199,0.0,0.0,1.0000000000000002,0.0,-113182.1452570834,0.0,0.0,0.0,True
0.9594307369156458,0.019697300803201773,0.02087196228115235,1141.1724462229529,0.0,1.0,0.0,0.0,-53872.92843544622,0.0,0.0,0.0,True
0.7199978921885988,0.2779765500561451,0.0020255577552561457,1969.8291803641328,0.0,0.0,0.9999999999999997,0.0,-128494.52535625137,0.0,0.0,0.0,True
0.5776004729572256,0.3451608140814282,0.07723871296134623,992.4809520493704,0.0,0.35115565908343327,0.0,0.6488443409224419,-44740.23450887717,0.0,0.0,0.0,True
0.9504902227106333,0.01880914894243061,0.030700628346936047,1744.1664088392452,0.9999999999999999,0.0,0.0,0.0,-105201.041923693,0.0,0.0,0.0,True
0.9691364241909092,0.015412057901482666,0.015451517907608082,1233.7206945473372,0.0,1.0,0.0,0.0,-60689.79351352633,0.0,0.0,0.0,True
0.9855638126305422,0.005000592486883968,0.009435594882573844,1277.1459300470365,0.0,1.0,0.0,0.0,-63478.553345006,0.0,0.0,0.0,True
0.6310181141141875,0.23583019084738543,0.13315169503842708,792.1634453047304,0.0947225973514642,0.643004549763336,0.0,0.262272852859102,-32169.441270518422,0.0,0.0,0.0,True
0.260090572525276,0.08649107765871121,0.6534183498160128,809.8411844705763,0.0,1.0,0.0,0.0,-38839.141572871675,0.0,0.0,0.0,True
0.4465447373436557,0.2696452004807034,0.2838100621756409,1626.994749338975,0.0,1.0000000000000004,0.0,0.0,-102271.22867994384,0.0,0.0,0.0,True
0.3690909090909092,0.23909090909090908,0.3918181818181818,1500.0,0.0,0.9999999999999994,0.0,0.0,-91809.23964845459,0.0,0.0,0.0,True
0.35176415116340465,0.24313086559874264,0.4051049832378527,1209.5355916189392,0.0,1.0,0.0,0.0,-66896.07359679932,0.0,0.0,0.0,True
0.983069085860449,0.005230424782046859,0.01170048935750414,1295.0933920769853,0.0,1.0,0.0,0.0,-65036.3447177055,0.0,0.0,0.0,True
0.542386289019677,0.40461361177380606,0.05300009920651695,911.6339981201581,0.0,0.0941226348831177,0.0,0.9058773651276355,-38219.546449180256,0.0,0.0,0.0,True
0.14000000000000007,0.46818181818181814,0.3918181818181818,1300.0,0.13580242189878697,0.8641975781075569,0.0,0.0,-69556.37403946416,0.0,0.0,0.0,True
0.4110381239731148,0.3464034381812937,0.24255843784559147,746.1755664566497,0.2525099198017296,0.7474900801403327,0.0,0.0,-30278.783869447452,0.0,0.0,0.0,True
0.759905358424723,0.15106392320427756,0.08903071837099952,994.9816380266113,0.0,1.0,0.0,0.0,-45900.03852440065,0.0,0.0,0.0,True
0.9488865075920508,0.021341839048000143,0.029771653359949024,991.9579018800919,0.7999771863701847,0.20002281362775978,0.0,0.0,-43276.503373422194,0.0,0.0,0.0,True
0.9524561413626844,0.03151794623296762,0.016025912404347885,1293.8750261112878,0.0,1.0,0.0,0.0,-65873.00052752695,0.0,0.0,0.0,True
0.5519702113718558,0.42692324870655823,0.0211065399215861,1389.0845781757353,1.0000000000000002,0.0,0.0,0.0,-74021.97417420956,0.0,0.0,0.0,True
0.33542809367465776,0.4500252583372364,0.21454664798810588,961.450973802508,0.2749226284826766,0.5869774953168145,0.0,0.13809987627465123,-43568.420486063274,0.0,0.0,0.0,True
0.7902436988394552,0.15444458498281752,0.055311716177727246,1777.0929250633653,0.0,0.0,1.0,0.0,-111847.48020542278,0.0,0.0,0.0,True
0.44545454545454544,0.3918181818181818,0.16272727272727272,900.0,0.0,0.3497399299574795,0.0,0.6502600700328524,-39268.38579232665,0.0,0.0,0.0,True
0.9933369785063009,0.0025340297354041795,0.0041289917582949445,1749.5015718798454,1.0,0.0,0.0,0.0,-103212.94738656848,0.0,0.0,0.0,True
0.5206176584905001,0.4076738627412595,0.07170847876824038,802.001167855418,0.018709355636628955,0.13532421844996884,0.0,0.8459664259180638,-31181.521683488572,0.0,0.0,0.0,True
0.6606416505067255,0.09972730391563117,0.23963104557764325,1451.7121754540606,0.0,1.0000000000000002,0.0,0.0,-86465.1443959058,0.0,0.0,0.0,True
